File #,DateTime,Operator,Name,ID,Application,Method,ElapsedTime,Match Qual 1,Match Qual 2,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,Cl,Cl Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Br,Br Err,Rb,Rb Err,Sr,Sr Err,Mo,Mo Err,Cd,Cd Err,Ba,Ba Err,Hg,Hg Err,Pb,Pb Err,Multiplier,Cal Check
48027,07-15-2025 08:40,User,CS Plant,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1991,0.1866,0.0494,0.0554,0.0148,0.1829,0.0066,0.2276,0.0044,0.0642,0.0148,1.5048,0.0074,0.3474,0.0028,0.0005,0.0003,0,0,0.0003,0.0003,0.1333,0.0018,0.0123,0.0009,0.0004,0.0001,0.0012,0.0001,0.002,1,0,0.0001,0,0.0002,0.0004,0.0002,0.0064,0.0002,0.0008,0.0002,0.0,0.0003,0,0.0023,0.0,0.0078,0,0.0002,0,0.0004,2,Passed
48029,07-15-2025 10:02,User,P1 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1649,0.0,0.0366,0.0381,0.0118,0.0402,0.0038,0.1355,0.0033,0.0441,0.0129,1.0363,0.0059,0.1821,0.002,0.0002,0.0002,0,0,0.0,0.0002,0.0026,0.0005,0.0073,0.0006,0.0,0.0001,0.0018,0.0002,0.0009,1,0,0.0002,0,0.0001,0.0,0.0002,0.002,0.0003,0.0004,0.0003,0.0,0.0002,0,0.0015,0.0,0.0089,0,0.0002,0,0.0006,2,Passed
48030,07-15-2025 10:04,User,P1 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.167,0.0,0.0362,0.0268,0.0115,0.0304,0.0035,0.12,0.0032,0.035,0.0124,0.9167,0.0055,0.1559,0.0019,0.0,0.0002,0,0,0.0,0.0002,0.0023,0.0005,0.0076,0.0006,0.0,0.0001,0.0017,0.0002,0.0009,2,0,0.0002,0,0.0001,0.0,0.0002,0.002,0.0003,0.0006,0.0003,0.0,0.0002,0,0.0015,0.0119,0.0092,0,0.0002,0,0.0006,2,Passed
48031,07-15-2025 10:06,User,P1 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.1714,0.1675,0.0,0.0358,0.0384,0.0112,0.0382,0.0036,0.1076,0.003,0.0356,0.0124,0.8464,0.0053,0.1722,0.0019,0.0,0.0002,0,0,0.0004,0.0002,0.0029,0.0005,0.0084,0.0007,0.0,0.0001,0.0016,0.0002,0.0009,2,0,0.0002,0,0.0001,0.0,0.0002,0.0014,0.0003,0.0,0.0003,0.0,0.0002,0,0.0015,0.0,0.0098,0,0.0001,0,0.0006,2,Passed
48040,07-15-2025 10:13,User,P1 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1578,0.0,0.0341,0.0246,0.0109,0.0337,0.0034,0.0997,0.0029,0.0326,0.0122,0.7637,0.0051,0.1031,0.0016,0.0,0.0002,0,0,0.0002,0.0002,0.002,0.0005,0.0091,0.0008,0.0,0.0001,0.0015,0.0002,0.0008,2,0,0.0002,0,0.0001,0.0,0.0002,0.0018,0.0003,0.0,0.0003,0.0,0.0002,0,0.0013,0.0,0.0106,0,0.0001,0,0.0007,2,Passed
48041,07-15-2025 10:14,User,P1 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1706,0.0,0.0367,0.0363,0.0116,0.0408,0.0037,0.1377,0.0033,0.0267,0.0128,1.0204,0.0059,0.1528,0.0019,0.0,0.0002,0,0,0.0,0.0002,0.0029,0.0005,0.0073,0.0006,0.0,0.0001,0.0016,0.0002,0.0009,1,0,0.0002,0,0.0001,0.0,0.0002,0.0019,0.0003,0.0,0.0003,0.0,0.0002,0,0.0016,0.0,0.009,0,0.0002,0,0.0006,2,Passed
48042,07-15-2025 10:16,User,P1 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1674,0.0,0.0354,0.0316,0.0114,0.045,0.0037,0.1048,0.003,0.0316,0.0125,0.8605,0.0054,0.1241,0.0017,0.0,0.0002,0,0,0.0003,0.0002,0.0024,0.0005,0.008,0.0007,0.0,0.0001,0.0018,0.0002,0.001,2,0,0.0002,0,0.0001,0.0,0.0002,0.002,0.0003,0.0003,0.0003,0.0,0.0002,0,0.0014,0.0,0.0096,0,0.0001,0,0.0006,2,Passed
48049,07-15-2025 10:21,User,P2 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1572,0.0,0.0363,0.034,0.0112,0.0521,0.0039,0.0943,0.0029,0.0263,0.0122,0.9116,0.0056,0.0957,0.0015,0.0003,0.0002,0,0,0.0004,0.0002,0.0024,0.0004,0.0058,0.0005,0.0,0.0001,0.0014,0.0001,0.0006,1,0,0.0001,0,0.0002,0.0,0.0002,0.0027,0.0002,0.0,0.0002,0.0,0.0002,0,0.0019,0.0,0.0079,0,0.0002,0,0.0005,2,Passed
48050,07-15-2025 10:23,User,P2 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.1834,0.1685,0.0,0.0378,0.0247,0.0117,0.0645,0.0043,0.1354,0.0034,0.0313,0.0128,1.0806,0.0061,0.1592,0.0019,0.0003,0.0002,0,0,0.0003,0.0002,0.0036,0.0004,0.0072,0.0006,0.0,0.0001,0.0019,0.0001,0.0007,1,0,0.0002,0,0.0001,0.0,0.0002,0.0029,0.0003,0.0,0.0002,0.0,0.0002,0,0.0018,0.0,0.0085,0,0.0002,0,0.0005,2,Passed
48051,07-15-2025 10:24,User,P2 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1782,0.0,0.0385,0.0298,0.0119,0.048,0.004,0.1512,0.0035,0.0264,0.0128,0.9859,0.0058,0.2208,0.0022,0.0003,0.0002,0,0,0.0004,0.0002,0.0029,0.0005,0.0071,0.0006,0.0,0.0001,0.002,0.0002,0.0005,1,0,0.0002,0,0.0001,0.0,0.0002,0.0025,0.0003,0.0,0.0003,0.0,0.0002,0,0.0017,0.0,0.0087,0,0.0002,0,0.0006,2,Passed
48058,07-15-2025 10:28,User,P2 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1659,0.0,0.0373,0.0277,0.0121,0.052,0.0042,0.1436,0.0035,0.0265,0.0128,1.0807,0.0061,0.1566,0.0019,0.0,0.0002,0,0,0.0004,0.0002,0.0031,0.0004,0.0062,0.0005,0.0,0.0001,0.0016,0.0001,0.0005,1,0,0.0001,0,0.0002,0.0,0.0002,0.0027,0.0002,0.0003,0.0002,0.0,0.0002,0,0.0019,0.0,0.008,0,0.0002,0,0.0005,2,Passed
48059,07-15-2025 10:30,User,P2 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1749,0.0,0.0376,0.028,0.0119,0.0526,0.0041,0.15,0.0035,0.0334,0.0131,1.1219,0.0062,0.2096,0.0022,0.0,0.0002,0,0,0.0,0.0002,0.0025,0.0004,0.0071,0.0005,0.0,0.0001,0.0016,0.0001,0.0005,1,0,0.0002,0,0.0002,0.0,0.0002,0.0025,0.0003,0.0,0.0002,0.0002,0.0002,0,0.0018,0.0,0.0083,0,0.0002,0,0.0005,2,Passed
48060,07-15-2025 10:31,User,P2 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1775,0.0,0.0379,0.0283,0.012,0.0594,0.0042,0.1563,0.0036,0.0229,0.013,1.1316,0.0062,0.1751,0.002,0.0,0.0002,0,0,0.0004,0.0002,0.0025,0.0004,0.0068,0.0005,0.0,0.0001,0.0015,0.0001,0.0006,1,0,0.0002,0,0.0002,0.0,0.0002,0.0025,0.0003,0.0,0.0002,0.0,0.0002,0,0.0018,0.0,0.0081,0,0.0002,0,0.0005,2,Passed
